Name,Former names,Established,President,Academic staff,Administrative staff,Students,Address,Campus,Colours,Affiliations,Website,ASN,Motto,Motto in English,Religious affiliation,Academic affiliations,Endowment,Chancellor,Colors,Type,Chairperson,Location,Nickname,Mascot,"Chair, Board of Governors",Former name,Campuses,Affiliation,Sporting affiliations,Director
University of Ottawa,College of Bytown (1848–1861) College of Ottawa (1861–1866),1848 ; 176 years ago ( 1848 ),Jacques Frémont,"2,911 4","2,839 4","48,800 4",,"Urban , 42.5 hectares (105 acres) 4",Garnet and Grey 7,,www .uottawa .ca,,Deus scientiarum Dominus est ( Latin ),God is the master of the sciences 1,,"ACU , ACUFC , CARL , COU , CUSID , Fields Institute , IAU , Universities Canada , U15",CA$321.3 million (2022) 2,Claudette Commanda,,,,,,,,,,,,
University of Toronto,,"March 15, 1827 (197 years ago) ( 1827-03-15 )",Meric Gertler 3,"3,246 5","7,462 5","64,218 a 6",,"St. George; Urban, 71 hectares (180 acres) a 7",PMS 655 blue 8,,utoronto.ca,,Velut arbor ævo ( Latin ),"""As a tree through the ages"" 1",,,c. C$3.27 billion (excl. colleges) 2 c. C$3.99 billion (incl. colleges) 2,Rose M. Patten 3,,,,,,,,,,,,
University of Waterloo,Waterloo College Associate Faculties (1956–1959) 1,1959 ( 1959 ) 2 a,Vivek Goel CM,"1,355 4","2,691 4",,,"Urban , 450 hectares (1,112 acres) 6 7",8,,uwaterloo .ca,,Concordia cum veritate ( Latin ),In harmony with truth,,"ACU , CARL , COU , CUSID , Fields Institute , Universities Canada , U15",CA$ 492 million (2023) 3,Dominic Barton,,,,,,,,,,,,
University of Western Ontario,"The Western University of London, Ontario 1",7 March 1878 ; 146 years ago ( 1878-03-07 ) 2,Alan Shepard,"1,403 5",,,,"Urban, 455 hectares (1,120 acres) 8",Purple and white 9,,uwo .ca,,Veritas et Utilitas ( Latin ),Truth and usefulness,,"ACU , CARL , COU , CUSID , Fields Institute , Universities Canada , U15",CA$ 1.14 billion (2023) 3,Kelly Meighen,,,,,,,,,,,,
University of Windsor,Assumption College (1857–1956) Assumption University of Windsor (1956–1963),September 1857 ; 166 years ago ( 1857-09 ) note 1,Robert Gordon,524,,"17,520 (2022)",,"Urban, 51 hectares (130 acres)",Blue and gold,,uwindsor.ca,,"Bonitatem, disciplinam, scientiam ( Latin )","Goodness, Discipline, and Knowledge",,"CARL , COU , Universities Canada",CAD$ 139 million (2023),Mary Jo Haddad,,,,,,,,,,,,
Wilfrid Laurier University,Waterloo Lutheran University (1960–1973),1911 ( 1911 ),Deborah MacLatchy,553 1,,"22,900",,,Purple and gold,,www .wlu .ca,,Veritas Omnia Vincit,Truth conquers all,,,CA$71.6 million,Eileen Mercier,,,,,,,,,,,,
York University,,1959 ; 65 years ago ( 1959 ),Rhonda Lenton 2,,"7,000","55,700",,"Urban / suburban, 185 ha (460 acres)",,,www .yorku .ca,,Tentanda via ( Latin ),The way must be tried,,"CARL , COU , CUSID , Fields Institute , IAU , Universities Canada",$632.7 million (2021) 1,Kathleen Taylor,,,,,,,,,,,,
University of Prince Edward Island,Prince of Wales College (1860); Saint Dunstan's University (1855),1969 ; 55 years ago ( 1969 ),Gregory Keefe,246 permanent and 28 term faculty,,"5,533 1","550 University Avenue Charlottetown , Prince Edward Island C1A 4P3  46.259°N 63.138°W46.259; -63.138",Mixed rural/urban,"Rust, green, and gold 2",,www .upei .ca,,"Fides, Scientia, Beneficium","Faith, Knowledge, Service",,,$40 million (2019),Hon. Catherine Callbeck,,,,,,,,,,,,
École de technologie supérieure,,1974,,260,,"11,000 1",,Urban,Black and maroon,"UACC , CIS , CEAB , QSSF , CBIE, CUP .",etsmtl .ca,,Le génie pour l'industrie,Engineering for Industry,,,,,,,,,,,,,,,,
École nationale d'administration publique,,1969,,40,143,,"555, boulevard Charest Est Quebec City, Quebec G1K 9E5  46.81417°N 71.22250°W46.81417; -71.22250","Urban/Suburban, five campuses throughout Quebec, with two major campuses in Quebec City and Montreal and three campuses in Gatineau , Saguenay and Trois-Rivières",Black & maroon,,www .enap .ca,,"""l'université de l'administration publique"" (the public administration university)",,,UACC,,,,,,,,,,,,,,
Institut national de la recherche scientifique,,1969,Armand Couture,,,,,"Urban / Suburban , five campuses throughout Quebec, with campuses in Quebec City and Montreal , Laval , and Varennes .",White & blue,"UACC , IAU",www.inrs.ca/,,"""La science en action pour un monde en evolution"" (Science in action for a world in evolution)",,,,,,,,,,,,,,,,,
McGill University,,"March 31, 1821 ; 203 years ago ( 1821-03-31 ) 2",H. Deep Saini 5 6,"3,476 (staff) 1,747 tenure track, 1,667 non-tenure track (faculty) 7","4,327 8","39,513 (2022) 9",,"Urban Downtown : 32 ha (80 acres) 10 Macdonald Campus : 650 ha (1,600 acres) 10 Outaouais Campus",Red 11 White,,www .mcgill .ca,,Grandescunt Aucta Labore On legend : In Domino Confido,"By work, all things increase and grow On legend : I trust in the Lord 1",,,CA$2.039 billion 3,John McCall MacBain,,,,,,,,,,,,
Université de Montréal,,1878 ; 146 years ago ( 1878 ),,"7,329 3","4,427 3","66,972 total (44,106 without its affiliated schools)",,"Urban, park, 60 ha (150 acres)","Royal blue, white and black",,www .umontreal .ca,,Fide splendet et scientia ( Latin ),It shines by faith and knowledge,,,$ 403.054 million 1,Frantz Saintellemy,,,,,,,,,,,,
Université de Sherbrooke,,1954,,"3,400","3,200","31,000",,Urban / Suburban,Green and Gold,,usherbrooke.ca,,Veritatem in charitate,Truth In Charity,Roman Catholic,,,,,,,,,,,,,,,
